BHK,Rent,Size,Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom
2,10000,1100,1,Bandel,1,1,Bachelors/Family,2
2,20000,800,1,"Phool Bagan, Kankurgachi",1,2,Bachelors/Family,1
2,17000,1000,1,Salt Lake City Sector 2,1,2,Bachelors/Family,1
2,10000,800,1,Dumdum Park,1,1,Bachelors/Family,1
2,7500,850,2,South Dum Dum,1,1,Bachelors,1
2,7000,600,1,Thakurpukur,1,1,Bachelors/Family,2
2,10000,700,1,Malancha,1,1,Bachelors,2
1,5000,250,1,Malancha,1,1,Bachelors,1
2,26000,800,2,"Palm Avenue Kolkata, Ballygunge",1,1,Bachelors,2
2,10000,1000,2,Natunhat,1,2,Bachelors/Family,2
3,25000,1200,2,"Action Area 1, Rajarhat Newtown",1,2,Bachelors/Family,2
1,5000,400,2,Keshtopur,1,1,Bachelors/Family,1
1,6500,250,2,"Tarulia, Keshtopur",1,2,Bachelors,1
1,5500,375,2,Dum Dum Metro,1,1,Bachelors/Family,1
3,8500,900,2,Paschim Barisha,1,1,Bachelors,2
3,40000,1286,2,New Town Action Area 1,1,2,Bachelors/Family,2
2,6000,600,1,Barasat,1,2,Bachelors/Family,1
2,10000,800,1,Behala,1,1,Bachelors/Family,1
2,11000,2000,2,Behala Chowrasta,1,1,Bachelors/Family,1
2,6000,660,1,Behala,1,1,Bachelors/Family,1
2,7900,650,2,Santoshpur,1,1,Family,1
2,9000,400,2,"Garia Station, Garia",1,1,Bachelors,2
1,4000,300,2,"Garia Station, Garia",1,1,Bachelors/Family,1
3,6500,1600,1,Joka,1,1,Bachelors/Family,1
1,8000,400,1,Sreebhumi,1,2,Bachelors,1
2,7000,1000,1,Rajarhat,1,1,Bachelors/Family,1
1,5300,355,2,Dum Dum,1,2,Bachelors/Family,1
2,6000,1000,1,"Kodalia, Hooghly-Chinsurah",1,2,Bachelors/Family,1
2,8500,800,1,Baguiati,1,1,Bachelors/Family,1
2,12500,850,1,"Rabindra Sarobar Area, Dhakuria",1,1,Bachelors/Family,2
1,7500,350,2,Baghajatin,1,1,Bachelors/Family,1
2,15000,900,2,"Project Kaikhali, Vip Road",1,1,Bachelors/Family,2
2,6000,550,1,Vip Road,1,2,Bachelors/Family,1
2,5000,500,2,Baruipur,1,1,Bachelors/Family,2
3,22000,1100,2,Dumdum Park,1,1,Bachelors/Family,1
2,15000,850,2,Sreebhumi,1,2,Bachelors/Family,1
2,12500,800,2,Shyam Bazar,1,1,Bachelors,1
2,7000,630,2,Birati,1,1,Bachelors,1
2,21000,900,2,Bansdroni,1,2,Bachelors,2
1,10000,270,2,Jadavpur University,1,2,Bachelors/Family,1
2,7200,630,2,Birati,1,2,Bachelors/Family,1
3,12000,1500,2,Bhadrakali,1,2,Bachelors,2
1,5000,600,1,Behala,1,1,Bachelors/Family,1
2,8500,700,2,Baruipur,1,2,Bachelors/Family,1
1,6000,300,1,Ballygunge,1,2,Bachelors/Family,1
2,10000,1300,1,Kalikapur,1,2,Family,2
2,4600,400,2,Behala,1,2,Bachelors,1
